title,company,salary_from,salary_to,salary_currency,skills,experience,has_higher_education,requirements,responsibilities
Junior Data Scientist,Управляющая компания РОСНАНО,,,,"Python, SQL, Data Science",От 1 года до 3 лет,False,,
Разработчик Ai решений (Middle+),ИЦ АЙ-ТЕКО,,,,,От 1 года до 3 лет,False,,
Senior ML-инженер (LLM и речевые технологии),СБЕР,,,,,Более 6 лет,False,,
Middle Product Manager (Портал «Рамблер»),Rambler&Co,,,,,От 1 года до 3 лет,False,,
MLOps Engineer,Lamoda Tech,,,,"Kubernetes, Docker, Helm, Spark, Apache Airflow, Python, Linux, Terraform, Ansible",От 1 года до 3 лет,False,,
Пресейл-инженер / Технический специалист по IT-оборудованию,А-Смарт Технологии,100000,140000,RUR,Техническая документация,От 1 года до 3 лет,False,,
ML-engineer (LLM и с мультимодальными моделями) в GigaChat,СБЕР,,,,,От 1 года до 3 лет,False,,
Аналитик команды Core,Okko,,,,"SQL, Python, A/B тесты",От 3 до 6 лет,False,,
Hadoop инженер (Трайб Data Office),АО «ОТП Банк» (JSC «OTP Bank»),,,,,От 3 до 6 лет,False,,
"Technical Presale Engineer — Server & AI Accelerators, Enterprise components",Born Alderman Group,180000,250000,RUR,,От 3 до 6 лет,False,,
Разработчик рекомендательной системы / ML-Engineer (Senior),Иви,,,,"Python, SQL, Spark, Bash, Базы данных, ML",От 3 до 6 лет,False,,
Data Engineer,СОГАЗ,,,,,От 3 до 6 лет,False,,
NLP-разработчик в Браузер,Яндекс,,,,,От 3 до 6 лет,False,,
Data scientist (ML Engineer),РЖД - Цифровые пассажирские решения,,,,"Python, SQL, Git, Docker, MLflow, Linux, Unix, Pipeline, Prometheus, Grafana, Jupyter Notebook, Jupiter",От 3 до 6 лет,False,,
Tech Lead ML платформы,WILDBERRIES,,,,,От 3 до 6 лет,False,,
MLops (ML Inference Engineer),WILDBERRIES,,,,"Spark, Python, MLOps, K8S, S3, Docker, Airflow, Triton, CI/CD, Trino, Redis, PostgreSQL, Clickhouse, Kafka, Prometheus, Grafana, JupyterHu",От 3 до 6 лет,False,,
Senior ML Engineer (Promo),"МАГНИТ, Розничная сеть",,,,"Python, SQL, Apache Airflow, Clickhouse, Greenplum",От 3 до 6 лет,False,,
PreSale - Инженер Machine Learning / Бизнес - аналитик,Дабл Ап,,120000,RUR,,От 1 года до 3 лет,False,,
Junior CV инженер (data scientist),Кронослаб,,,,,От 1 года до 3 лет,False,,
Руководитель программы по машинному зрению (Computer Vision Program Lead),ARK,,,,"Computer Vision, Честный Знак, Waterfall, Agile, Жизненный цикл проекта",От 3 до 6 лет,False,,
"Middle, ML-инженер CV, ML",СБЕР,,,,,От 1 года до 3 лет,False,,
ML-инженер (рекомендательная система),Rambler&Co,,,,,От 1 года до 3 лет,False,,
"ML-инженер (Middle), страхование",SkillStaff,,,,"Python, Linux, SQL, Docker",От 3 до 6 лет,False,,
"Senior Python/Django разработчик в EdTech (архитектура, highload)",Электронные платформы,400000,,RUR,"Python, Django, Django Rest Framework, DRF, Celery, Docker, PostgreSQL, Redis, Git, Kubernetes, aiohttp, JavaScript, TypeScript, backend developer, senior developer, highload, ИТ-архитектура, distributed systems, microservices, code review, Работа в команде, DevOps, REST API, API design, async programming",От 3 до 6 лет,False,,
Team Lead​​​​​​​ Data Scientist (Search & Recommendation),Циан,,,,"ml, Big Data, Hadoop, Python, SQL",Более 6 лет,False,,
Data engineer (Python Hadoop Spark),X5 Tech,,,,"Python, Spark, Hadoop",От 3 до 6 лет,False,,
Senior Research Engineer (Multimodal Diffusion & RLHF),СБЕР,,,,,От 3 до 6 лет,False,,
Разработчик Ai решений,ИЦ АЙ-ТЕКО,,,,,От 3 до 6 лет,True,,
Data Engineer/Дата-инженер,Кронослаб,,,,,От 1 года до 3 лет,False,,
Data Scientist,АльфаСтрахование,,,,,От 3 до 6 лет,False,,
SRE-инженер,Bell Integrator Регионы,,,,"Grafana, Zabbix, Kubernetes, Kafka, Ansible, Hadoop, Python",От 3 до 6 лет,False,,
Data Scientist / ML-инженер (Тераплан),YADRO,,,,,От 3 до 6 лет,False,,
Разработчик AI решений,ИЦ АЙ-ТЕКО,,220000,RUR,,От 1 года до 3 лет,False,,
ML Engineer (Anomaly Detection RnD),Яндекс,,,,"Python, Deep Learning, MLflow, C++, Java",От 3 до 6 лет,False,,
System Analyst,СБЕР,,,,,От 3 до 6 лет,False,,
Senior data engineer,СБЕР,,,,,От 3 до 6 лет,False,,
Data Scientist,ANCOR,,,,"PyTorch, recsys, SQL, Python, postgres, ml, data scince",От 3 до 6 лет,False,,
Data Engineer (senior/middle),WILDBERRIES,,,,"Spark, Big Data, Hadoop, s3, Greenplum, Clickhouse",От 3 до 6 лет,False,,
Старший ML инженер (Python),Ozon,,,,"IT, Поисковые технологии, data science",От 3 до 6 лет,False,,
Senior DL-engineer (Центр Исследований),СБЕР,,,,,Более 6 лет,False,,
Product Manager – AI,Made of Storm,3000,5000,EUR,,От 3 до 6 лет,False,,
Senior NLP Engineer (Центр практического искусственного интеллекта),СБЕР,,,,,Более 6 лет,False,,
Middle LLM инженер,Аналитический центр при Правительстве Российской Федерации,,,,,От 1 года до 3 лет,True,,
Senior ML Engineer (RecSys),Innovative People,,,,,От 3 до 6 лет,False,,
LLMOps-инженер,Outlines Technologies,,458000,RUR,"MLOps, LLMOps, Kubernetes, Docker, Python, LLM, ML",От 3 до 6 лет,True,,
Middle ML engineer в KION [МТС Веб Сервисы],МТС,,,,"Python, SQL, Docker, PySpark, PyTorch, Apache Airflow",От 3 до 6 лет,False,,
Senior ML Engineer (TTS Text-to-speech),СБЕР,,,,,От 3 до 6 лет,False,,
Middle Fullstack ML Engineer (GigaChat Audio распознавание речи),СБЕР,,,,,От 1 года до 3 лет,False,,
Senior / Lead Machine Learning Engineer (GigaChat Audio - Spotter),СБЕР,,,,,От 3 до 6 лет,False,,
Deep Learning Engineer (ASR),СБЕР,,,,,От 3 до 6 лет,False,,
LLM Researcher / Engineer,МФТИ,150000,,RUR,"LLM-Agent, AI-Agent, Multi-Agent Systems, Co-Pilots, LLM, VLM, Langchain, Langgraph, Autogen, Prompt Engineering, RAG, SFT, Alignment, Python, PyTorch, Docker, Git, ClearML",Нет опыта,True,,
Senior SRE-инженер (ML),Альфа-Банк,,,,,От 3 до 6 лет,False,,
"Старший Data Scientist, Эффективность рекламы",Ozon,,,,"IT, поиск, Python, ML, Hadoop, Spark, Yarn, Hive, HDFS, MLflow, Разработка поисковых технологий, Data Science",От 3 до 6 лет,False,,
Менеджер DevRel (ML Stream),Т-Банк,,,,,От 3 до 6 лет,False,,
Ведущий ML инженер,СБЕР,,,,,От 3 до 6 лет,False,,
Machine Learning engineer (Python),Атлас,,400000,RUR,"Python, PyTorch, SQL, MongoDB, Clickhouse, NLP, Redis",От 3 до 6 лет,False,,
"С++ Программист (ML Engineer / Data Scientist, видеоаналитик)",НЭПТ,200000,350000,RUR,"C++, Qt, Python, OpenCV, Computer Vision, TensorFlow, Yolo, MMDetection",От 3 до 6 лет,False,,
Chief Information Officer (CIO) (FinTech),Inwizo,,,,,От 3 до 6 лет,False,,
ML engineer / Data scientist,Константа,,,,,От 3 до 6 лет,False,,
"Senior ML Engineer (Uplift), группа ""Search""",Okko,,,,"ML, uplift, SQL, Python",От 3 до 6 лет,False,,
"Аналитик-разработчик в команду ""Платформа экспериментов""",Okko,,,,"Python, SQL, A/B тесты",От 3 до 6 лет,False,,
"Аналитик-разработчик команда ""Поиск"" (middle+/senior)",Okko,,,,"SQL, Python, A/B тесты",От 3 до 6 лет,False,,
