title,company,salary_from,salary_to,salary_currency,skills,experience,has_higher_education,requirements,responsibilities
ML Engineer (Speech),VS Robotics (ООО АБТ),,,,,От 3 до 6 лет,False,,
C++ developer [Middle],Диплей,,,,,От 3 до 6 лет,False,,
DevOps инженер,Bell Integrator Регионы,,,,"Linux, Ansible, Docker, Kubernetes, OpenShift, Kafka, Jenkins, Prometeus, Yandex Cloud",От 1 года до 3 лет,False,,
Руководитель группы по разработке интеллектуальных систем,Кибертех-Сигнал,,,,"C++, FastAPI, Flask",От 3 до 6 лет,False,,
ML-инженер (Python),Rocket Science,,,,,От 1 года до 3 лет,False,,
Руководитель проектов по внедрению искусственного интеллекта,ГКУ Инфогород,,,,"Искусственный интеллект, LLM, ML-проекты",От 3 до 6 лет,False,,
Middle/Senior Data Scientist,IMOT.IO,,350000,RUR,"Python, pandas, PyTorch, Natural Language Processing, SQL",От 3 до 6 лет,False,,
Lead Data Scientist/Руководитель направления (NLP),Ингосстрах,,,,"Data Science, Machine Learning, NLP",От 3 до 6 лет,True,,
Senior Data Scientist,Диджитал Лайн,200000,,RUR,,От 3 до 6 лет,False,,
Data Engineer в ML команду,X5 Digital,,,,"Python, SQL, Spark",От 3 до 6 лет,False,,
Robotics Software Engineer,Техвилл (ООО Автомакон),,500000,RUR,,Более 6 лет,False,,
Python-разработчик,RoRe Group,,,,,От 3 до 6 лет,False,,
Разработчик AI-агентов (Исследования и AI),СБЕР,,,,,От 3 до 6 лет,False,,
Machine Learning Engineer в группу контекстных рекомендаций в VK Видео,VK,,,,"Машинное обучение, Machine Learning",От 3 до 6 лет,False,,
Data Engineer (Ведущий инженер систем больших данных),X5 Tech,,,,,Нет опыта,False,,
Администратор IT-систем / SRE (GigaChat),СБЕР,,,,,От 3 до 6 лет,False,,
Выездной инженер технической поддержки/системный администратор,АДС-Cофт,,,,,От 1 года до 3 лет,False,,
ML Lead,Brand Analytics,,,,,Более 6 лет,False,,
Инженер данных внешних источников,«ОХК «Уралхим»,,,,"PostgreSQL, MongoDB, Clickhouse, ETL, Apache Airflow, Python, pandas",От 1 года до 3 лет,False,,
Специалист по патентной охране интеллектуальной собственности,Империус Групп,,,,"Интеллектуальная собственность, Патентное право, Цифровое право, Работа с большим объемом информации, Работа с документами, оформление документации, Патентный поиск, DeepTech, Наука и техника, Подготовка презентаций, Аналитические исследования",От 3 до 6 лет,True,,
Data Scientist (Блок Финансы),СБЕР,,,,,От 3 до 6 лет,False,,
"Старший инженер по автоматизации тестирования Python, Рантайм поиска и индексация",Ozon,,,,"IT, Разработка поисковых технологий, Python, Java",От 3 до 6 лет,False,,
ML Engineer/Data Scientist на продукт Ценообразование,X5 Tech,,,,"Python, Hadoop, Spark, Apache Hive, PyTorch, PostgreSQL",От 3 до 6 лет,False,,
Сетевой инженер,Т-Банк,,,,,От 1 года до 3 лет,False,,
Senior MLOps Engineer,Страховая компания Сбербанк страхование,,,,,Более 6 лет,False,,
"Эксперт/Senior эксперт Продвинутая аналитика и моделирование (Data Scientist, ML-инженер)",Банк ДОМ.РФ,,,,"XGBoost, Математическая статистика, Scikit-learn, PyTorch, Matplotlib, pandas, Numpy, Python, SQL, LightGBM",От 1 года до 3 лет,False,,
ML/CV-engineer middle,Рок Энд Милл,,,,,От 3 до 6 лет,True,,
Технический продакт менеджер,РТС-тендер,,,,"Python, Управление продуктом, Управление командой",От 3 до 6 лет,False,,
MLSecOps-инженер,Т-Банк,,,,"Python, MLOps, PyTorch, SAST, Go",От 3 до 6 лет,False,,
Инженер сопровождения инфраструктуры L3 DataSoft (Devops),Ecom.tech,,,,"Linux, Docker, Big Data, Grafana, Prometheus, Git",От 1 года до 3 лет,False,,
ML-engineer (GigaChat Data Alignment),СБЕР,,,,,От 3 до 6 лет,False,,
Fullstack AI Developer,Спейс Тревел,,,,"Python, Flask, JavaScript, CSS, LLM, FastAPI, Docker",От 1 года до 3 лет,False,,
